ip,timestamp,req_count,auth_fail_count,rapid_req_count,large_payload_count,xss_hits,sqli_hits,get_requests,avg_response_time,label
::1,2026-01-01 05:58:10+00:00,1,0,0,0,0,1,0,1.0,brute_force
::1,2026-01-01 05:58:30+00:00,2,0,0,0,0,2,0,0.5,brute_force
::1,2026-01-01 05:58:50+00:00,2,0,0,0,0,2,0,1.0,brute_force
::1,2026-01-01 05:59:10+00:00,1,0,0,0,0,1,0,1.0,brute_force
::1,2026-01-01 05:59:20+00:00,1,0,0,0,0,1,0,0.0,brute_force
::1,2026-01-01 05:59:40+00:00,1,0,0,0,0,1,0,1.0,brute_force
::1,2026-01-01 06:00:00+00:00,1,0,0,0,0,1,0,1.0,brute_force
::1,2026-01-01 06:00:20+00:00,1,0,0,0,0,1,0,0.0,brute_force
::1,2026-01-01 06:00:30+00:00,2,0,0,0,0,2,0,0.0,brute_force
::1,2026-01-01 06:00:50+00:00,1,0,0,0,0,1,0,0.0,brute_force
::1,2026-01-01 06:01:00+00:00,1,0,0,0,0,1,0,1.0,brute_force
::1,2026-01-01 06:01:30+00:00,1,0,0,0,0,1,0,0.0,brute_force
::1,2026-01-01 06:01:40+00:00,1,0,0,0,0,1,0,1.0,brute_force
::1,2026-01-01 06:02:00+00:00,1,0,0,0,0,1,0,1.0,brute_force
::1,2026-01-01 06:02:20+00:00,1,0,0,0,0,1,0,1.0,brute_force
::1,2026-01-01 06:02:30+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:02:40+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:02:50+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:03:00+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:03:10+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:03:20+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:03:40+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:04:00+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:04:20+00:00,2,0,0,0,0,2,0,0.5,normal
::1,2026-01-01 06:04:50+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:05:10+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:05:20+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:05:30+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:05:50+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:06:10+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:06:30+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:06:40+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:06:50+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:07:00+00:00,2,0,0,0,0,2,0,0.0,normal
::1,2026-01-01 06:07:20+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:07:40+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:08:10+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:08:30+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:09:00+00:00,2,0,0,0,0,2,0,0.5,normal
::1,2026-01-01 06:09:20+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:09:50+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:10:00+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:10:30+00:00,2,0,1,0,0,2,0,0.0,normal
::1,2026-01-01 06:10:40+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:11:10+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:11:30+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:12:00+00:00,2,0,1,0,0,2,0,0.5,normal
::1,2026-01-01 06:12:10+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:12:40+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:13:00+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:13:30+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:13:50+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:14:00+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:14:20+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:14:40+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:15:00+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:15:10+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:15:30+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:15:50+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:16:10+00:00,2,0,0,0,0,2,0,1.0,normal
::1,2026-01-01 06:16:20+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:16:30+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:17:00+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:17:10+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:17:20+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:17:40+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:17:50+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:18:10+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:18:20+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:18:30+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:19:00+00:00,2,0,0,0,0,2,0,0.0,normal
::1,2026-01-01 06:19:10+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:19:20+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:19:40+00:00,2,0,0,0,0,2,0,1.0,normal
::1,2026-01-01 06:19:50+00:00,1,0,0,0,0,1,0,1.0,normal
::1,2026-01-01 06:20:20+00:00,1,0,0,0,0,1,0,0.0,normal
::1,2026-01-01 06:20:50+00:00,2,0,0,0,0,2,0,0.5,normal
